"","habit","dissection","morphotype","glands","hairs","gemmae","SLA","stipe","length","width","rhizome","pinna"
"Abrodictyum_asaegrayi1",0,10,"filament",0,0,1,NA,4.071,9.348,2.088,0.335,7.5
"Abrodictyum_asaegrayi2",0,10,"filament",0,0,1,NA,3.697,10.2365,1.993,0.2865,14
"Abrodictyum_caudatum",1,6,"filament",0,0,1,27.07143,2.748,28.007,5.065,0.303,20
"Abrodictyum_dentatum",0,6,"filament",0,0,1,25.74768,8.633,19.966,6.952,0.4,15
"Acrostichum_aureum",0,3,"cordate",0,0,0,9.17543,40,130,27,NA,13
"Adiantum_hispidulum",1,5,"cordate",0,0,0,62.69765,8.754,20.645,6.128,0.34,1
"Adiantum_raddianum",1,7,"cordate",0,0,0,66.21701,18.06,30.304,11.13,0.5,5
"Adiantum_trapeziforme",0,5,"cordate",0,0,0,42.72704,48,88,33,1.051,5
"Alsophila_tahitensis",0,6,"cordate",0,0,0,22.34926,23.5,90,51,10,10
"Amphineuron_opulentum",0,4,"cordate",1,0,0,48.85977,47.947,92.381,26.723,0.856,14
"Angiopteris_evecta",0,5,"cordate",0,0,0,22.16646,150,700,300,50,10
"Antrophyum_plantagineum",1,1,"ribbon",0,0,1,15.71861,4.67,11.4426,1.7444,0.4,1
"Antrophyum_reticulatum",1,1,"ribbon",0,0,1,15.77358,0.1,19.613,3.242,0.3,1
"Arachniodes_aristata",0,6,"cordate",1,0,0,20.58664,35.856,55.927,16.309,0.879,8
"Archigrammitis_tahitensis",1,1,"strap",0,1,0,19.94816,16.13275,10.29875,0.832,0.3445,1
"Arthropteris_palisotii",1,3,"strap",1,0,0,29.84023,0.98733,17.055,3.36567,0.16267,16.66667
"Asplenium_affine",1,3,"cordate",NA,NA,0,31.79228,12.959,32.0175,5.553,0.7,12.5
"Asplenium_australasicum",1,1,"cordate",0,0,0,24.77653,0.1,70,9,NA,1
"Asplenium_caudatum",0,3,"cordate",1,0,0,34.04028,26.7415,112.8155,13.05,1.5,41
"Asplenium_gibberosum",0,6,"cordate",NA,NA,0,16.92468,29.995,78.765,25.45,1.913,12.5
"Asplenium_nidus",1,1,"cordate",0,0,0,22.64643,0.1,105.58633,12.36433,NA,1
"Asplenium_polyodon",1,3,"cordate",NA,NA,0,11.28194,20.0505,48.0295,19.554,0.8,12
"Asplenium_tenerum",0,3,"cordate",NA,NA,0,26.7549,13.60633,31.8685,4.475,1.87,20
"Belvisia_spicata",1,1,"cordate",1,0,0,17.40314,3.242,33.591,2.54,0.803,1
"Blechnum_orientale",0,3,"cordate",1,0,0,22.86434,30,160,53,13.584,39
"Blechnum_pacificum",0,3,"cordate",0,0,0,23.29416,56.395,117.795,27.206,4.5,37
"Blechnum_patersonii",1,2,"cordate",NA,NA,0,23.18303,27.6515,49.048,14.742,2.8,4.5
"Blechnum_raiateense",0,3,"cordate",0,0,0,23.62729,29.213,82.292,15.375,5.312,25
"Blechnum_vulcanicum",0,3,"cordate",1,0,0,13.34374,37.5,72.5,20.3965,1,15
"Bolbitis_lonchophora",0,4,"cordate",0,0,0,47.23664,12.565,34.848,14.665,1.416,8
"Callistopteris_apiifolia",0,6,"ribbon",0,0,1,24.20173,12.497,37.0555,10.8285,1.147,15
"Calymmodon_orientalis",1,2,"ribbon",0,1,0,26.42045,0.25,8.34,0.441,0.223,35
"Cheilanthes_nudiuscula",1,6,"cordate",NA,NA,NA,28.55993,2.791,6.346,2.385,0.3,6
"Chingia_longissima",0,4,"cordate",1,0,0,20.94395,102.207,194.216,49.133,8.991,41
"Christella_dentata",0,4,"cordate",1,0,0,44.8799,49.06667,102.028,25.14933,0.67433,17.66667
"Coryphopteris_sp1",0,4,"cordate",1,0,0,32.01054,20.28867,46.86333,12.282,0.709,15.66667
"Crepidomanes_bipunctatum",1,10,"filament",0,0,1,24.94579,2.048,11.602,2.842,0.111,9
"Crepidomanes_humile",1,10,"filament",0,0,1,40.68249,0.6385,4.903,1.86,0.086,7
"Crepidomanes_kurzii",1,3,"filament",0,0,1,44.07738,0.2,1,0.8,0.05,4
"Crepidomanes_minutum1",1,2,"filament",0,0,1,NA,0.6,1.6,1.2,0.028,1
"Crepidomanes_minutum2",1,2,"filament",0,0,1,NA,0.88,2.478,0.744,0.024,1
"Crepidomanes_minutum3",1,3,"filament",0,0,1,NA,0.281,3.962,0.969,0.042,9
"Ctenitis_sciaphila",0,6,"cordate",1,0,0,42.3048,20.428,43.396,23.28,1.695,10
"Ctenopterella_blechnoides",1,2,"cordate",0,NA,NA,8.66087,0.722,19.2915,1.8295,0.609,52.5
"Cyathea_epaleata",0,6,"cordate",NA,NA,0,27.01497,33.5,NA,62,6,NA
"Dasygrammitis_purpurascens",1,2,"strap",0,1,0,15.11146,1.74667,13.417,1.24467,0.87833,31.33333
"Davallia_solida",1,6,"cordate",1,0,0,19.60113,27.15,48.693,32.01,1.244,8
"Deparia_petersenii",0,6,"cordate",1,0,0,61.73764,26.62575,58.0405,12.707,0.883,11.5
"Dicranopteris_linearis",0,5,"cordate",1,0,0,24.79752,35,NA,36,3,NA
"Didymoglossum_tahitense",1,1,"filament",0,0,1,53.08611,0.1,1.1915,1.0525,0.0845,1
"Diplazium_ellipticum",0,6,"cordate",0,0,0,45.89344,33.19125,75.06575,33.271,2.15425,12.75
"Diplazium_grantii",0,6,"cordate",0,0,0,46.26883,21.059,60.311,19.114,1.54,10
"Diplazium_harpeodes",0,6,"cordate",0,0,0,35.34975,76.4025,165.269,37.6565,1.6,13
"Diplopterygium_longissimum",0,NA,"cordate",1,0,0,52.12753,20,34,81,0.8,3
"Doryopteris_concolor",0,4,"cordate",0,0,0,40.28088,5.708,9.135,3.588,0.5,1
"Dryopteris_dicksonioides",0,8,"cordate",0,0,0,24.1661,84.8325,159.534,63.33667,2,14.5
"Dryopteris_macrolepidota",0,6,"cordate",0,0,0,31.38864,48.793,109.6475,49.318,6,12
"Elaphoglossum_samoense",1,1,"cordate",1,0,0,15.29364,4.924,16.022,2.252,1.433,1
"Elaphoglossum_savaiense",1,1,"cordate",1,0,0,10.50238,15.528,64.463,9.673,1.205,1
"Grammitis_marginelloides",1,1,"ribbon",0,0,0,14.39572,1.78067,13.96033,0.76867,0.54333,1
"Haplopteris_elongata",1,1,"ribbon",0,0,1,10.45429,0.1,58.016,0.629,0.326,1
"Histiopteris_incisa",0,6,"cordate",0,0,0,51.00833,56.243,130.695,54.707,0.8985,10
"Humata_anderssonii",1,4,"ribbon",1,0,0,8.42825,3.743,6.951,3.23,0.177,4
"Humata_pectinata",1,4,"ribbon",NA,0,0,14.12202,11.389,23.396,4.4765,0.29,22
"Hymenophyllum_braithwaitei",1,NA,"ribbon",NA,NA,NA,25.17391,NA,NA,NA,NA,NA
"Hymenophyllum_digitatum",1,2,"ribbon",0,0,1,26.80461,0.5205,2.9785,1.4995,0.025,3
"Hymenophyllum_flabellatum",1,10,"ribbon",0,0,1,31.13849,2.919,20.2065,3.4625,0.102,12.5
"Hymenophyllum_javanicum",1,10,"ribbon",0,0,1,44.30635,3.92067,18.877,6.832,0.072,10.33333
"Hymenophyllum_multifidum",1,10,"ribbon",0,0,1,17.73338,2.66525,5.77825,1.96825,0.04775,4.75
"Hymenophyllum_pallidum",1,10,"ribbon",0,0,1,21.05504,7.339,14.288,2.768,NA,8
"Hymenophyllum_polyanthos",1,10,"ribbon",0,0,1,34.71578,3.396,14.307,3.1565,0.0635,13.5
"Hypolepis_dicksonioides",0,8,"cordate",0,0,0,60.66595,40,90,44.5,0.8945,14
"Hypolepis_sp1",0,NA,"cordate",NA,NA,NA,53.57639,80,200,87.6,0.4,NA
"Hypolepis_tenuifolia",0,8,"cordate",0,0,0,38.90003,46,107,51.5,0.85,12.5
"Leucostegia_pallida",1,6,"cordate",1,0,0,30.93163,45.308,49.306,25.117,1.007,12.5
"Lindsaea_propinqua",0,NA,"cordate",NA,NA,NA,40.66775,21.9135,34.651,13.6135,0.175,4
"Lindsaea_repens",1,3,"cordate",0,0,0,44.91884,1.06,31.998,2.6615,0.234,40
"Lindsaea_rigida",1,5,"cordate",0,0,0,37.36888,19.178,36.227,12.582,0.1585,1
"Lomagramma_tahitensis",1,3,"strap",0,0,0,26.65888,12.746,47.428,14.877,0.743,22
"Lomariopsis_brackenridgei",1,3,"strap",0,0,0,30.57118,22.987,65.097,22.896,0.6,13
"Lygodium_reticulatum",0,5,"cordate",0,0,0,45.27326,15,NA,30,0.325,NA
"Macrothelypteris_polypodioides",0,6,"cordate",NA,NA,0,34.90659,79.9915,143.0345,31.724,1.449,15.5
"Macrothelypteris_torresiana",0,6,"cordate",1,0,0,34.90659,44.559,109.446,33.296,1.3985,12
"Microlepia_scaberula",0,6,"cordate",0,0,0,25.84102,63.535,133.7945,43.0755,0.7,10
"Microsorum_commutatum",0,2,"strap",0,0,0,33.30004,34.536,79.557,29.964,1.305,9
"Microsorum_grossum",0,2,"strap",1,0,0,37.37387,13.583,42.603,19.829,0.924,4
"Microsorum_membranifolium",0,2,"strap",1,0,0,53.49169,87.661,278.81,64.756,1.5,20
"Microsorum_powellii",1,2,"strap",1,0,0,15.11792,20.195,44.801,20.3125,0.818,6.5
"Microsorum_punctatum",1,1,"strap",1,0,0,22.95811,0.1,68.79967,7.20267,0.7,1
"Microsorum_sp1",0,NA,"strap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microsorum_xmaximum",0,2,"strap",NA,0,0,20.41668,1.217,36.582,3.741,0.877,1
"Nephrolepis_biserrata",0,3,"cordate",1,0,0,18.31936,20.302,98.599,14.4365,0.4,20
"Nephrolepis_cordifolia",0,3,"cordate",1,0,0,9.67343,8.301,38.8,4.632,0.75,30
"Nephrolepis_exaltata",0,3,"cordate",1,0,0,NA,NA,NA,NA,NA,NA
"Nephrolepis_hirsutula",0,3,"cordate",1,0,0,44.99124,19.64633,70.51867,9.48567,1.078,43.33333
"Oleandra_sibbaldii",1,1,"cordate",1,0,0,33.98502,3.9225,34.897,3.18,0.41,1
"Ophioglossum_falcatum",1,1,"tuber",0,0,0,23.52817,3.677,36.2435,2.3915,0.325,1
"Ophioglossum_pendulum",1,1,"tuber",0,0,0,19.57249,4.23533,91.05667,3.25967,0.45,1
"Oreogrammitis_raiateensis",1,1,"strap",NA,NA,NA,32.78677,0.465,5.178,0.5435,0.292,1
"Paesia_divaricatissima",0,8,"cordate",0,0,0,8.92143,76.055,56.1,35.73133,0.311,7
"Pityrogramma_calomelanos",0,4,"cordate",0,0,0,NA,24.98,68.206,11.806,1.136,18
"Plesioneuron_attenuatum",0,4,"cordate",1,0,0,35.63604,53.667,128.787,27.84,1.786,22
"Plesioneuron_sp1",0,4,"cordate",NA,NA,0,38.96484,20.562,49.757,10.814,1.7,15
"Pneumatopteris_mesocarpa",0,4,"cordate",1,0,0,32.69819,76.531,144.10033,25.91667,1.97867,27
"Polyphlebium_borbonicum",1,10,"filament",0,0,1,36.9616,3.2485,9.171,4.1735,0.0885,6.5
"Polyphlebium_endlicherianum",1,10,"filament",0,0,1,38.43785,0.876,4.9815,1.199,0.0525,4.5
"Prosaptia_contigua",1,2,"strap",0,1,0,13.80418,4.359,26.34033,2.82,0.55,55
"Psilotum_complanatum",1,1,"tuber",0,0,0,9.50825,0.1,155.3255,0.424,0.212,1
"Psilotum_nudum",1,1,"tuber",0,0,0,NA,0.1,30,0.2,0.7,1
"Pteris_comans",0,7,"cordate",NA,NA,0,39.19376,50,100,40,NA,2
"Pteris_ensiformis",0,5,"cordate",0,0,0,30.71905,11.073,27.613,6.682,0.7,5
"Pteris_mertensioides",0,5,"cordate",NA,NA,0,26.71696,80,200,48,NA,14
"Pteris_tripartita",0,8,"cordate",0,0,0,54.92073,79.285,132.042,58.613,NA,1
"Ptisana_salicina",0,5,"cordate",0,0,0,15.31452,47,100,83,8,4
"Pyrrosia_serpens",1,1,"strap",1,0,0,13.61263,2.585,11.034,0.925,0.16,1
"Schizaea_dichotoma",0,3,"filament",0,0,0,57.75598,32.7485,42.8415,12.096,0.3,NA
"Selliguea_plantaginea",1,1,"strap",1,0,0,8.76558,10.4675,26.494,5.5315,0.466,1
"Sphaeropteris_medullaris",0,6,"cordate",0,1,0,22.96016,23.5,147.5,68,11,NA
"Sphaerostephanos_invisus",0,4,"cordate",1,1,0,22.43995,31.6205,100.543,24.4255,0.8,30.5
"Sphaerostephanos_subpectinatus",0,4,"cordate",1,1,0,42.88815,22.513,49.488,13.363,1.614,15
"Sphenomeris_chinensis",0,8,"cordate",0,0,0,26.17994,29.686,87.189,14.723,1.233,12
"Sticherus_tahitensis",0,5,"cordate",NA,NA,NA,10.84583,33.583,46.542,21.6865,0.25,16
"Tectaria_decurrens",0,3,"cordate",1,0,0,38.20042,38.3745,79.2585,31.639,2.753,3.5
"Tectaria_dissecta",0,6,"cordate",1,0,0,46.11147,43.6515,88.764,38.2455,1.775,8.5
"Tectaria_tahitensis",0,6,"cordate",1,0,0,49.71515,60.497,99.477,39.327,1.721,5
"Teratophyllum_wilkesianum",0,5,"strap",0,0,0,58.71247,20.774,46.443,15.6,0.607,8
"Tmesipteris_gracilis",1,1,"tuber",0,0,0,11.66435,4.2,22.9,2.48,0.212,28
"Vandenboschia_maxima",0,6,"filament",0,0,1,23.08518,10.89825,29.1725,10.545,0.33925,8.25
"Wibelia_denticulata",1,8,"cordate",1,0,0,22.24866,40,100,52,0.915,10.5
